Comment,Description,Designator,Footprint,LibRef,Quantity
10u,,C12,C0603,,1
二极管,,"D1, D1_1, D1_2, D1_3, D1_4, D1_5, D1_6, D1_7, D1_8, D1_9, D1_10, D1_11, D1_12, D1_13, D1_14, D1_15, D1_16, D1_17, D1_18, D1_19, D2, D2_1, D2_2, D2_3, D2_4, D2_5, D2_6, D2_7, D2_8, D2_9, D2_10, D2_11, D2_12, D2_13, D2_14, D2_15, D2_16, D2_17, D2_18, D2_19, D3, D3_1, D3_2, D3_3, D3_4, D3_5, D3_6, D3_7, D3_8, D3_9, D3_10, D3_11, D3_12, D3_13, D3_14, D3_15, D3_16, D3_17, D3_18, D3_19, D4, D4_1, D4_2, D4_3, D4_4, D4_5, D4_6, D4_7, D4_8, D4_9, D4_10, D4_11, D4_12, D4_13, D4_14, D4_15, D4_16, D4_17, D4_18, D4_19, D5, D5_1, D5_2, D5_3, D5_4, D5_5, D5_6, D5_7, D5_8, D5_9, D5_10, D5_11, D5_12, D5_13, D5_14, D5_15, D5_16, D5_17, D5_18, D5_19, D6, D6_1, D6_2, D6_3, D6_4, D6_5, D6_6, D6_7, D6_8, D6_9, D6_10, D6_11, D6_12, D6_13, D6_14, D6_15, D6_16, D6_17, D6_18, D6_19, D7, D7_1, D7_2, D7_3, D7_4, D7_5, D7_6, D7_7, D7_8, D7_9, D7_10, D7_11, D7_12, D7_13, D7_14, D7_15, D7_16, D7_17, D7_18, D7_19, D8, D8_1, D8_2, D8_3, D8_4, D8_5, D8_6, D8_7, D8_8, D8_9, D8_10, D8_11, D8_12, D8_13, D8_14, D8_15, D8_16, D8_17, D8_18, D8_19, D9, D9_1, D9_2, D9_3, D9_4, D9_5, D9_6, D9_7, D9_8, D9_9, D9_10, D9_11, D9_12, D9_13, D9_14, D9_15, D9_16, D9_17, D9_18, D9_19, D10, D10_1, D10_2, D10_3, D10_4, D10_5, D10_6, D10_7, D10_8, D10_9, D10_10, D10_11, D10_12, D10_13, D10_14, D10_15, D10_16, D10_17, D10_18, D10_19, D11, D11_1, D11_2, D11_3, D11_4, D11_5, D11_6, D11_7, D11_8, D11_9, D11_10, D11_11, D11_12, D11_13, D11_14, D11_15, D11_16, D11_17, D11_18, D11_19, D12, D12_1, D12_2, D12_3, D12_4, D12_5, D12_6, D12_7, D12_8, D12_9, D12_10, D12_11, D12_12, D12_13, D12_14, D12_15, D12_16, D12_17, D12_18, D12_19, D13, D13_1, D13_2, D13_3, D13_4, D13_5, D13_6, D13_7, D13_8, D13_9, D13_10, D13_11, D13_12, D13_13, D13_14, D13_15, D13_16, D13_17, D13_18, D13_19, D14, D14_1, D14_2, D14_3, D14_4, D14_5, D14_6, D14_7, D14_8, D14_9, D14_10, D14_11, D14_12, D14_13, D14_14, D14_15, D14_16, D14_17, D14_18, D14_19, D15, D15_1, D15_2, D15_3, D15_4, D15_5, D15_6, D15_7, D15_8, D15_9, D15_10, D15_11, D15_12, D15_13, D15_14, D15_15, D15_16, D15_17, D15_18, D15_19, D16, D16_1, D16_2, D16_3, D16_4, D16_5, D16_6, D16_7, D16_8, D16_9, D16_10, D16_11, D16_12, D16_13, D16_14, D16_15, D16_16, D16_17, D16_18, D16_19, D17, D17_1, D17_2, D17_3, D17_4, D17_5, D17_6, D17_7, D17_8, D17_9, D17_10, D17_11, D17_12, D17_13, D17_14, D17_15, D17_16, D17_17, D17_18, D17_19, D18, D18_1, D18_2, D18_3, D18_4, D18_5, D18_6, D18_7, D18_8, D18_9, D18_10, D18_11, D18_12, D18_13, D18_14, D18_15, D18_16, D18_17, D18_18, D18_19, D19, D19_1, D19_2, D19_3, D19_4, D19_5, D19_6, D19_7, D19_8, D19_9, D19_10, D19_11, D19_12, D19_13, D19_14, D19_15, D19_16, D19_17, D19_18, D19_19, D20, D20_1, D20_2, D20_3, D20_4, D20_5, D20_6, D20_7, D20_8, D20_9, D20_10, D20_11, D20_12, D20_13, D20_14, D20_15, D20_16, D20_17, D20_18, D20_19",SC-79_L1.2-W0.8-LS1.6-RD,,400
XH2.5电源插座,,H5,HDR-TH_2P-P2.54-V-M-1,,1
3.3uH,,L1_20,IND-SMD_L4.0-W4.0_SMNR4012,,1
19-217/GHC-YR1S2/3T,,"LED1, LED2",LED0603-R-RD,,2
S8050,,"Q1, Q2",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,2
820k,,R1,R0603,,1
750k,,R2,R0603,,1
143k,,R3,R0603,,1
0.4R,,R4,R1206,,1
